Rezept_ID;Parent_Name;Detail_ID;Variant_Name;Ingredient_List;Ingredient_Unit;Total_Weight;Preparation_Notes;SensorikProfil;PhysikalischeForm;Mix_Typ;Region_Tag;Source;Status;Cost_Estimate;Yield_Info;Rezept_Version;Source_Type;Author_Note;Unnamed: 21;Illu_Path;Illu_Variant_Path
Rezept-0021;Amaro Montenegro;Var-2;Amaro Rosso (arancia);Enzian 18 g, Chinarinde 12 g, Rhabarberwurzel 8 g, Orangenschale 12 g, Enzianrinde 6 g, Vanille 2 g, Zimt 5 g, Nelke 2 g, Alkohol 1 L, Zuckersirup 300 g;g;1.3 kg;Bitter-süß, Zitrusakzent.;S3;P3;M7;Italien;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/amaro-montenegro.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/amaro-montenegro__amaro-rosso-arancia.png
Rezept-0022;Rogan Josh Curry;Var-1;Rogan Josh (Kashmir);Paprika edelsüß 28 %, Kashmiri Chili 10 %, Fenchel 12 %, Kreuzkümmel 10 %, Ingwer 10 %, Kardamom 6 %, Zimt 6 %, Knoblauch 6 %, Nelke 3 %, Muskat 2 %, Pfeffer 7 %;%;100 %;Warm-rot, fenchelbetont.;S4;P1;M1;Kashmir;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/rogan-josh-curry.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/rogan-josh-curry__rogan-josh-kashmir.png
Rezept-0023;Vindaloo Curry (Goa-Stil);Var-1;Vindaloo (Goa-Stil);Chili 20 %, Kreuzkümmel 15 %, Senfsaat 12 %, Knoblauch 12 %, Ingwer 10 %, Pfeffer 8 %, Kurkuma 8 %, Koriander 10 %, Bockshornklee 3 %, Zimt 2 %;%;100 %;"Für Essig-Marinade; scharf & pikant.";S4;P1;M1;Goa;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/vindaloo-curry-goa-stil.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/vindaloo-curry-goa-stil__vindaloo-goa-stil.png
Rezept-0024;Keralan Curry (mit Curryblättern);Var-1;Kerala (mit Curryblättern);Koriander 24 %, Kurkuma 18 %, Chili 12 %, Schwarze Senfsaat 10 %, Kreuzkümmel 10 %, Fenchel 6 %, Curryblätter 10 %, Pfeffer 5 %, Bockshornklee 5 %;%;100 %;Aromatisch, Curryblätter prägnant.;S4;P1;M1;Kerala;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/keralan-curry-mit-curryblaettern.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/keralan-curry-mit-curryblaettern__kerala-mit-curryblaettern.png
Rezept-0025;Sri Lankan Curry Powder (dark roast);Var-1;Sri Lankan (dark roast);Koriander 26 %, Kreuzkümmel 16 %, Fenchel 14 %, Zimt 10 %, Nelke 6 %, Kardamom 6 %, Chili 14 %, Pfeffer 6 %, Curryblätter 2 %;%;100 %;Dunkel geröstet.;S4;P1;M1;Sri Lanka;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/sri-lankan-curry-powder-dark-roast.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/sri-lankan-curry-powder-dark-roast__sri-lankan-dark-roast.png
Rezept-0026;Japanese Kare (Curry-Roux);Var-1;Japanisches Kare (Roux-Block);Currybasis-Pulver 45 %, Mehl 35 %, Fett 15 %, Zucker 3 %, Salz 2 %;%;100 %;"Wird als Roux-Block gekocht; Paste/Block.";S4;P2;M1;Japan;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/japanese-kare-curry-roux.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/japanese-kare-curry-roux__japanisches-kare-roux-block.png
Rezept-0027;Thai Massaman Currypaste;Var-1;Massaman (thai);Kardamom 10 %, Zimt 10 %, Kreuzkümmel 12 %, Koriander 20 %, Nelke 4 %, Muskat 4 %, Erdnuss geröstet 10 %, Chili 12 %, Galgant 8 %, Zitronengras 6 %, Knoblauch 2 %, Schalotte 2 %;%;100 %;"Indo-muslimische Note; nussig.";S4;P2;M1;Thailand/Süd;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/thai-massaman-currypaste.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/thai-massaman-currypaste__massaman-thai.png
Rezept-0047;Duqqa (Haselnuss-Sesam);Var-13;Ägyptisch (klassisch);Haselnuss 30 %, Sesam 30 %, Koriander 18 %, Kreuzkümmel 12 %, Salz 5 %, Pfeffer 5 %;%;100 %;Nüsse rösten, grob mörsern.;S5;P1;M1;Ägypten;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam__aegyptisch-klassisch.png
Rezept-0048;Duqqa (Haselnuss-Sesam);Var-14;Levant (nussig-kräutrig);Haselnuss 28 %, Sesam 28 %, Koriander 16 %, Kreuzkümmel 10 %, Thymian 8 %, Sumach 6 %, Salz 2 %, Pfeffer 2 %;%;100 %;Mit Thymian & Sumach.;S5;P1;M1;Levant;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam__levant-nussig-kraeutrig.png
Rezept-0049;Duqqa (Haselnuss-Sesam);Var-15;Pistazie-Zaatar;Pistazie 28 %, Sesam 28 %, Zaatar/Thymian 16 %, Koriander 12 %, Kreuzkümmel 8 %, Sumach 6 %, Salz 2 %;%;100 %;Zaatar-Akzent, fruchtig.;S5;P1;M1;Levant;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam__pistazie-zaatar.png
Rezept-0050;Duqqa (Haselnuss-Sesam);Var-16;Äthiopisch angelehnt (berbere);Haselnuss 26 %, Sesam 26 %, Koriander 16 %, Kreuzkümmel 10 %, Berbere 12 %, Salz 5 %, Pfeffer 5 %;%;100 %;Warmer Berbere-Twist.;S5;P1;M1;Horn von Afrika;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/duqqa-haselnuss-sesam__aethiopisch-angelehnt-berbere.png
Rezept-0028;Vermouth-Botanicals;Var-1;Vermouth Botanicals (dry);Wermutkraut 20 g, Enzian 6 g, Angelika 6 g, Ysop 4 g, Schafgarbe 4 g, Koriander 6 g, Kardamom 4 g, Zitrusschalen 10 g, Zimt 4 g, Nelke 2 g, Weinbasis 1 L;;1 L;"Kaltmazerat; abpressen, filtrieren.";S3;P3;M7;Italien/Frankreich;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/vermouth-botanicals.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/vermouth-botanicals__vermouth-botanicals-dry.png
Rezept-0064;Shito (Ghana Chili Sauce);Var-4;Shito (Ghana, dunkel);Chilipulver 30 %, Zwiebel 20 %, Knoblauch 15 %, Getrocknete Garnelen 15 %, Öl 15 %, Tomatenmark 5 %;%;100 %;Zutaten pürieren, in Öl ausbraten bis aromatisch. Heiß abfüllen.;S4;P2;M5;Ghana;W3_HotSauces;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/shito-ghana-chili-sauce.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/shito-ghana-chili-sauce__shito-ghana-dunkel.png
Rezept-0029;Kyphi (Ägyptisch, Rekonstruktion);Org-1;Kyphi (rekonstruiert, klassisch);Olibanum 20 g, Myrrhe 15 g, Mastix 10 g, Rosinen 10 g, Honig 10 g, Wein 10 ml, Zimt 5 g, Kardamom 2 g, Kalmus 2 g, Styrax 1 g, Labdanum 1 g;g;ca. 86 g;Trockenteile mahlen, mit Honig & Wein verkneten, trocknen.;S3;P4;M6;Ägypten;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion__kyphi-rekonstruiert-klassisch.png
Rezept-0030;Kyphi (Ägyptisch, Rekonstruktion);Var-2;Kyphi (harzbetont);Olibanum 25 g, Myrrhe 20 g, Mastix 12 g, Labdanum 6 g, Benzoe 4 g, Rosinen 8 g, Honig 8 g, Wein 8 ml, Zimt 4 g, Kardamom 2 g, Kalmus 2 g;g;ca. 99 g;"Harzanteil höher; süßharzig.";S3;P4;M6;Ägypten;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion__kyphi-harzbetont.png
Rezept-0031;Kyphi (Ägyptisch, Rekonstruktion);Var-3;Kyphi (würzbetont);Olibanum 18 g, Myrrhe 12 g, Mastix 8 g, Rosenblätter 2 g, Zimt 6 g, Kardamom 4 g, Kalmus 3 g, Styrax 3 g, Labdanum 2 g, Honig 10 g, Wein 10 ml, Rosinen 12 g;g;ca. 90 g;Würzspitze, floraler Unterton.;S3;P4;M6;Ägypten;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion__kyphi-wuerzbetont.png
Rezept-0032;Kyphi (Ägyptisch, Rekonstruktion);Var-4;Pontisches Thymiama (rek.);Olibanum 20 g, Myrrhe 10 g, Mastix 10 g, Wein 10 ml, Honig 10 g, Lorbeer 5 g, Zimt 5 g, Pinienharz 5 g, Wacholder 5 g;g;ca. 80 g;Antike Rezeptur rekonstruiert.;S3;P4;M6;Levant/GR;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/raeuchermischungen/kyphi-aegyptisch-rekonstruktion__pontisches-thymiama-rek.png
Rezept-0033;gelbe curry paste;Var-1;Thai Gelb (paste);Koriander 18 %, Kreuzkümmel 10 %, Kurkuma frisch 12 %, Chili 18 %, Knoblauch 10 %, Schalotte 10 %, Zitronengras 12 %, Galgant 6 %, Shrimp-Paste 4 %;%;100 %;"Frische Paste; sofort verarbeiten.";S4;P2;M1;Thailand;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/gelbe-curry-paste.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/gelbe-curry-paste__thai-gelb-paste.png
Rezept-0034;sambhar;Var-2;Sambar Podi (Tamil);Koriander 30 %, Chili 18 %, Urad Dal 10 %, Chana Dal 10 %, Bockshornklee 5 %, Pfeffer 5 %, Kreuzkümmel 8 %, Kurkuma 6 %, Asafoetida 2 %, Curryblätter 6 %;%;100 %;Linsenanteil typisch.;S4;P1;M1;Tamil Nadu;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/sambhar.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/sambhar__sambar-podi-tamil.png
Rezept-0065;Piri-Piri Sauce;Var-5;Piri-Piri (Mosambik/Portugal);Bird’s Eye Chilis 40 %, Knoblauch 10 %, Zitronensaft 15 %, Weißweinessig 15 %, Olivenöl 15 %, Salz 5 %;%;100 %;Alles mixen, 24–48 h ziehen lassen. Marinade für Geflügel.;S4;P3;M7;Mosambik/Portugal;W3_HotSauces;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/piri-piri-sauce.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/piri-piri-sauce__piri-piri-mosambik-portugal.png
Rezept-0066;Ajika;Var-6;Ajika (Georgien/Abchasien);Frische rote Chilis 50 %, Knoblauch 15 %, Koriandergrün 10 %, Dill 5 %, Salz 10 %, Walnüsse 10 %;%;100 %;Grob mörsern, frisch servieren oder leicht trocknen zur Lagerung.;S4;P2;M5;Georgien;W3_HotSauces;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ajika.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ajika__ajika-georgien-abchasien.png
Rezept-0067;Sriracha;Var-7;Sriracha (Thailand, Basis);Frische rote Chilis 60 %, Knoblauch 10 %, Zucker 10 %, Essig 15 %, Salz 5 %;%;100 %;Fein pürieren, kurz aufkochen, heiß abfüllen. Süß-sauer-scharf.;S4;P3;M5;Thailand;W3_HotSauces;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/sriracha.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/oelmischungen/sriracha__sriracha-thailand-basis.png
Rezept-0068;Aji Amarillo Paste;Var-8;Aji Amarillo Paste (Peru);Aji Amarillo 80 %, Öl 10 %, Salz 5 %, Zitronensaft 5 %;%;100 %;Schoten entkernen, dämpfen, fein mixen. Basis für Huancaína & Ceviche.;S4;P2;M5;Peru;W3_HotSauces;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/aji-amarillo.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/aji-amarillo__aji-amarillo-paste-peru.png
